ac_number,constituency,winner_2021,party_2021,votes_2021,runner_up_votes_2021,margin_2021,reserved_2021,region_2021,year_2021,winner_2026,party_2026,votes_2026,runner_up_votes_2026,margin_2026,reserved_2026,region_2026,year_2026,flipped,from_to
114,Tiruppur (South),SELVARAJ. K.,DMK,75535,70826,4709,GEN,Kongu,2021,BALAMURUGAN. S,TVK,73793,60892,12901,GEN,Kongu,2026,True,DMK → TVK
115,Palladam,ANANDAN M S M,AIADMK,126903,94212,32691,GEN,Kongu,2021,K.RAMKUMAR,TVK,121297,83400,37897,GEN,Kongu,2026,True,AIADMK → TVK
116,Sulur,KANDASAMY V.P.,AIADMK,118968,87036,31932,GEN,Kongu,2021,NM.SUKUMAR,TVK,90531,85741,4790,GEN,Kongu,2026,True,AIADMK → TVK
117,Kavundampalayam,G.Arunkumar,AIADMK,135669,125893,9776,GEN,Kongu,2021,KANIMOZHI SANTHOSH,TVK,146466,104326,42140,GEN,Kongu,2026,True,AIADMK → TVK
119,Thondamuthur,S.P. VELUMANI,AIADMK,124225,82595,41630,GEN,Kongu,2021,S.P.VELUMANI,AIADMK,93316,78591,14725,GEN,Kongu,2026,False,AIADMK → AIADMK
121,Singanallur,"Jayaram, K.R",AIADMK,81244,70390,10854,GEN,Kongu,2021,K.S.SRI GIRI PRASATH,TVK,84163,65024,19139,GEN,Kongu,2026,True,AIADMK → TVK
122,Kinathukadavu,Damodaran.S,AIADMK,101537,100442,1095,GEN,Kongu,2021,VIGNESH K,TVK,99950,88240,11710,GEN,Kongu,2026,True,AIADMK → TVK
123,Pollachi,Pollachi V. Jayaraman,AIADMK,80567,78842,1725,GEN,Kongu,2021,K. NITHYANANDHAN,DMK,62013,57386,4627,GEN,Kongu,2026,True,AIADMK → DMK
124,Valparai,AMULKANDASAMI T K,AIADMK,71672,59449,12223,SC,Kongu,2021,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,45300,9371,SC,Kongu,2026,True,AIADMK → DMK
126,Madathukulam,C MAHENDRAN,AIADMK,84313,77875,6438,GEN,Kongu,2021,R JAYARAMAKRISHNAN,DMK,70458,54490,15968,GEN,Kongu,2026,True,AIADMK → DMK
127,Palani,SENTHIL KUMAR I.P,DMK,108566,78510,30056,GEN,South,2021,RAVIMANOHARAN. K,AIADMK,66986,66293,693,GEN,South,2026,True,DMK → AIADMK
128,Oddanchatram,SAKKARAPANI R,DMK,109970,81228,28742,GEN,South,2021,SAKKARAPANI. R,DMK,93099,49850,43249,GEN,South,2026,False,DMK → DMK
129,Athoor,PERIYASAMY I,DMK,165809,30238,135571,GEN,South,2021,I. PERIASAMY,DMK,106240,83872,22368,GEN,South,2026,False,DMK → DMK
131,Natham,NATHAM.R.VISWANATHAN,AIADMK,107762,95830,11932,GEN,South,2021,NATHAM VISWANATHAN R,AIADMK,85708,73839,11869,GEN,South,2026,False,AIADMK → AIADMK
132,Dindigul,SREENIVASAN.C,AIADMK,90595,72848,17747,GEN,South,2021,SENTHILKUMAR. I.P,DMK,74489,73358,1131,GEN,South,2026,True,AIADMK → DMK
